2026-05-13 06:27:50,077 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 06:27:50,083 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 06:39:11,945 - INFO - Epoch [099/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0009 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:39:19,027 - INFO - Epoch [100/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0008 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:39:26,232 - INFO - Epoch [101/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0008 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:39:33,250 - INFO - Epoch [102/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0008 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:39:40,430 - INFO - Epoch [103/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0008 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:39:47,657 - INFO - Epoch [104/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0008 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:39:54,645 - INFO - Epoch [105/150] | LR: 0.000125 | Loss: 0.0026 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0008 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:01,642 - INFO - Epoch [106/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:08,808 - INFO - Epoch [107/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:15,891 - INFO - Epoch [108/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:22,965 - INFO - Epoch [109/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:29,990 - INFO - Epoch [110/150] | LR: 0.000125 | Loss: 0.0024 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:37,032 - INFO - Epoch [111/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:44,039 - INFO - Epoch [112/150] | LR: 0.000125 | Loss: 0.0024 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:51,162 - INFO - Epoch [113/150] | LR: 0.000125 | Loss: 0.0024 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0006 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:40:58,297 - INFO - Epoch [114/150] | LR: 0.000125 | Loss: 0.0024 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0007 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:41:05,403 - INFO - Epoch [115/150] | LR: 0.000125 | Loss: 0.0024 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0006 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
