2026-05-13 05:19:03,229 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 05:19:03,235 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 05:24:19,892 - INFO - Epoch [067/150] | LR: 0.000250 | Loss: 0.0494 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:24,294 - INFO - Epoch [068/150] | LR: 0.000250 | Loss: 0.0494 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:28,573 - INFO - Epoch [069/150] | LR: 0.000250 | Loss: 0.0490 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0323) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:32,826 - INFO - Epoch [070/150] | LR: 0.000250 | Loss: 0.0496 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0326) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:37,094 - INFO - Epoch [071/150] | LR: 0.000250 | Loss: 0.0497 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0327) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:41,355 - INFO - Epoch [072/150] | LR: 0.000250 | Loss: 0.0497 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0327) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:45,628 - INFO - Epoch [073/150] | LR: 0.000250 | Loss: 0.0493 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0324) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:50,870 - INFO - Epoch [074/150] | LR: 0.000250 | Loss: 0.0492 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0324) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:55,937 - INFO - Epoch [075/150] | LR: 0.000250 | Loss: 0.0495 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0326) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:00,985 - INFO - Epoch [076/150] | LR: 0.000250 | Loss: 0.0500 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0328) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
